user,comment,time,like
绿油油旷野吸氧,我终于成为公务员了[流泪],2025-07-09 15:16:06,0
我是情书写给狐白,一定会上岸[憨笑],2025-07-09 15:01:06,1
淮南落雨,考上了吗,2025-07-09 14:39:40,0
心期过涧,关关难过关关过,2025-07-09 13:49:39,0
-你说愿我无忧_,今天中考查分  加油 祝我上岸[西西奸笑],2025-07-09 12:52:35,1
吃嗯陳_Ych,加油！,2025-07-09 12:34:57,0
NexL-,我是啥,2025-07-09 11:47:59,0
早餐吃面条-,[开门红],2025-07-09 11:29:53,0
Isitwhatyouwant,怎么样啊，兄弟,2025-07-09 10:48:15,0
虔溺,怎么样啊,2025-07-09 10:10:36,0
生活远比戏剧更荒诞与沉重,关关是难关 但我们关关过,2025-07-09 10:08:57,0
章Cheryl,中考上岸！   高分[祈祷],2025-07-09 09:58:57,1
Jauquely,中考加油！,2025-07-09 09:56:17,1
zyt116_227咖啡,关关是难关但我们关关过[小红花],2025-07-09 09:29:19,1
耿予礼,加油,2025-07-09 09:27:07,0
虚无会常存,考上了吗,2025-07-09 09:15:34,0
Typing-_-_,幸福就在下一个转角！2025.7.4终于听到现场版了！,2025-07-09 08:53:07,0
总是很呆萌,"文光破晓天门开，墨香引路入学海。
麒麟驮书踏云来，魁星执笔把名开。
文涛破浪墨挥剑劈霾，书山踏碎青云台。
德作舟来才作柴，寒窗燃尽见花开。
锦鲤乘风跃金榜，蟾宫折桂好运来。
中考考出理想成绩[拜][拜][拜][拜][拜][拜]",2025-07-09 08:22:46,1
如果敏感是天赋_DYZ7,幸福就在下一个转角,2025-07-09 07:56:29,0
楚丶越,加油鸭[大笑],2025-07-09 07:48:59,0
心有雨难放晴_7,中考上岸！查分顺利！高分高分！,2025-07-09 06:48:49,0
姐弟骨,希望可以一直活下去,2025-07-09 05:54:07,0
姐弟骨,加油呀宝宝,2025-07-09 05:53:38,0
姐弟骨,想哭,2025-07-09 05:53:25,0
刃宝o,中考上岸,2025-07-09 05:24:44,0
宅男校草,加油加油,2025-07-09 05:07:47,0
宅男校草,今天出分了 我要考入理想的高中,2025-07-09 05:07:31,1
我来自浩瀚宇宙无敌最亮眼的星星,啊,2025-07-09 05:00:19,0
醉她诚,加油加油,2025-07-09 04:22:49,0
秋天专辑,事在人为不必拿缘分二字作托词,2025-07-09 04:19:12,0
赠予诀,怎么样,2025-07-09 02:44:37,0
卿卿_mOvF,"你最近過的好不好
",2025-07-09 02:41:49,0
手写的-从前m,那是一天晚自习下课，她把我叫到一个没人的墙角，拿着一张便利贴，上面写着加油的歌词，她边看歌词边唱了起来，当时我还没听过加油，但是我看她唱的时候眼睛里就像是有光一样，我也忍不住的去拥抱了她。这首加油我从那时起一直喜欢到现在[流泪]我也不知道喜欢的是加油还是记忆里的她[流泪],2025-07-09 01:10:10,0
98早莓酱,看看？,2025-07-09 00:44:36,0
雨季无敌力量金属,马上会考就要查分了 好紧张[悲伤],2025-07-09 00:31:16,0
馨7an,关关是难关 但我们关关过,2025-07-09 00:28:45,1
_乐忧劉,安稳一点还是自由一点,2025-07-09 00:16:30,0
Ayiz-,关关难过关关过,2025-07-09 00:16:19,0
回头是小狗0_0,今天10点查成绩 一定要上岸啊！！[拜][拜][拜],2025-07-09 00:12:37,0
77ranR,"祝大家天天开心
",2025-07-08 23:39:56,0
李同志在这,早日康复！,2025-07-08 23:32:12,0
hellooo793,"中考上岸
",2025-07-08 23:28:49,0
一万个悲伤1,考上了吗,2025-07-08 22:48:35,0
你恰若仙境美景,关关是难关 但我会关关过,2025-07-08 22:47:27,0
vanilla牛奶,你考上了吗？[可爱],2025-07-08 22:08:37,0
Riooue,高考失利了，有一起聊天抱团取暖的宝子嘛[流泪][流泪][流泪],2025-07-08 22:05:36,0
1-3-5-7-2-4-6-8,肿么样啦,2025-07-08 21:45:17,0
寒酸的AD钙,加油 你一定能考上理想高中！,2025-07-08 21:36:33,1
番番日记,"怎么样
",2025-07-08 21:16:26,1
八月街市,高中 加油！,2025-07-08 21:09:53,0
莫名其妙的言狗子2,工作好心累,2025-07-08 20:29:50,1
Moon墨小白,7月4日是我第一次参加林俊杰的演唱会 在大型考试之前我都会听这首歌给我自己加油 我自己都超级喜欢这首歌 没想到第一次就在现场听到啦！非常开心,2025-07-08 18:36:09,1
水蜜桃桃ii_,"7了唉
",2025-07-08 18:13:43,0
秋七幸-,关关是难关，但我们关关过，未来是谁和我一起相关过呢,2025-07-08 17:24:02,0
街角de向阳花屋,加油,2025-07-08 16:14:45,1
离开落星田的脆弱小奶猫,哈哈哈,2025-07-08 15:22:42,0
trouble-4U,加油！,2025-07-08 15:06:19,1
Arno-Zhu,nb,2025-07-08 14:51:40,0
